restaurant name,meal
Aura Always Veg,Lunch
Aura Always Veg,Dinner
Aura Always Veg,Breakfast
Green Channel,Lunch
Green Channel,Dinner
Green Channel,Breakfast
Gossip The Cafe Bar,Lunch
Gossip The Cafe Bar,Dinner
Gossip The Cafe Bar,Breakfast
The Boston Butt,Lunch
The Boston Butt,Dinner
The Boston Butt,Brunch
The Boston Butt,Drinks
Lotus Leaf,Breakfast
Lotus Leaf,Lunch
Lotus Leaf,Dinner
Andheri West,Lunch
Andheri West,Dinner
Timess Square,Lunch
Timess Square,Dinner
Timess Square,Breakfast
Picasso,Dinner
Hungry Jd's,Lunch
Hungry Jd's, Brunch
Pizza Express,Lunch
Pizza Express,Dinner
Pizza Express,After-Hours
Britannia & Company Restaurant,Lunch
Britannia & Company Restaurant,Dinner
Britannia & Company Restaurant,After-Hours
Kala Ghoda Cafe,Lunch
Kala Ghoda Cafe,Dinner
Kala Ghoda Cafe,Breakfast
Kala Ghoda Cafe,After-Hours
Kala Ghoda Cafe,Drinks
Chetana,Lunch
Chetana,Dinnert
Punjab Grill,Lunch
Punjab Grill,Dinner
The Pantry Cafe,Lunch
The Pantry Cafe,Dinner
The Pantry Cafe,Breakfast
The Pantry Cafe,Brunch
Mamagoto,Lunch
Mamagoto,Dinner
Mamagoto,Brunch
Mamagoto,After-Hours
Fountain Inn,Lunch
Fountain Inn,Dinner
Fountain Inn,Breakfast
Tasse de The,Lunch
Tasse de The,Dinner
Tasse de The,Breakfast
The Clearing House,Lunch
The Clearing House,Dinner
Pizza express,Lunch
Pizza express,Dinner
Pizza express,After-Hours
Hotel Fountain Plaza Restaurant,Lunch
Hotel Fountain Plaza Restaurant,Dinner
Hotel Fountain Plaza Restaurant,Breakfast
Hotel Fountain Plaza Restaurant,Brunch
olympia,Lunch
olympia,Dinner
olympia,Breakfast
House of Tipsy,Lunch
House of Tipsy,Dinner
Copper Chimney,Lunch
Copper Chimney,Dinner
Copper Chimney,After-Hours
Copper Chimney,Drinks
Pandora's Box,Lunch
Pandora's Box,Dinner
Pratap Lunch Home,Lunch
Pratap Lunch Home,Dinner
Mocambo Cafe,Lunch
Mocambo Cafe,Dinner
Mocambo Cafe,Brunch
Mocambo Cafe,After-Hours
The Irish House Kala Ghoda,Lunch
The Irish House Kala Ghoda,Dinner
The Irish House Kala Ghoda,Breakfast
Ling's Pavilion,Lunch
Ling's Pavilion,Dinner
Ling's Pavilion,After-Hours
Rue Du Liban,Lunch
Rue Du Liban,Dinner
Mamagoto,Lunch
Mamagoto,Dinner
McDonalds Family Restaurant,Lunch
McDonalds Family Restaurant, Breakfast
McDonalds Family Restaurant, Dinner
McDonalds Family Restaurant, After-hours
Ideal Corner,Lunch
Ideal Corner,Dinner
Poetry by Love and Cheesecake,Lunch
Poetry by Love and Cheesecake,Brunch
Poetry by Love and Cheesecake,Breakfast
Effingut,Lunch
Effingut,Dinner
Millennials Eatery & Bar,Lunch
Millennials Eatery & Bar,Dinner
Baskin-Robbins,Lunch
Baskin-Robbins,Dinner
Baskin-Robbins,Breakfast
AKA Bistro,Lunch
AKA Bistro,Dinner
AKA Bistro,Breakfast
Plenty,Lunch
Plenty,Dinner
Plenty,Breakfast
Bademiya Restaurant,Dinner
Bademiya Restaurant,After-Hours
Fountain Sizzlers,Lunch
Fountain Sizzlers,Dinner
Fountain Sizzlers,Lunch
Fountain Sizzlers,Dinner
5 Spice,Dinner
5 Spice, Lunch
5 Spice, After-Hours
Harish Lunch Home,Lunch
Harish Lunch Home,Dinner
The Boston Butt Fort,Dinner
Kandeel,Lunch
Kandeel,Dinner
Soi Kitchen,Lunch
Soi Kitchen,Dinner
Taste of Malabar,Lunch
Taste of Malabar,Dinner
Savoury Restaurant,Lunch
Savoury Restaurant,Dinner
Hazuka,Lunch
Hazuka,Dinner
Say Cheese,Lunch
Say Cheese,Dinner
Say Cheese,Brunch
The Bar Terminal,Lunch
The Bar Terminal, Dinner
The Bar Terminal, After-Hours
The Bar Terminal, Drinks
Spices & Flavours,Lunch
Spices & Flavours,Dinner
Spices & Flavours,Drinks
Apoorva,Lunch
Apoorva,Dinner
Apoorva,After-Hours
Costa Coffee,Breakfast
99 Pancakes,Breakfast
Food For Thought,Lunch
Food For Thought,Dinner
Food For Thought,Brunch
The Ghetto Restaurant,Lunch
The Ghetto Restaurant, Dinner
The Ghetto Restaurant, Drinks
Cafe Moshe's,Lunch
Cafe Moshe's, Dinner
Cafe Moshe's, Brunch
Cafe Moshe's, After-hours
Vicinia,Lunch
Vicinia,Dinner
Vicinia,Breakfast
Ministry of salads,Breakfast
Ministry of salads, Lunch
Ministry of salads, Dinner
Ministry of salads, After-hours
Chicken Centre,Lunch
Chicken Centre,Dinner
Chicken Centre,Breakfast
Francesco's Pizzeria,Lunch
Francesco's Pizzeria,Dinner
Francesco's Pizzeria,Breakfast
Bombay Blues Restaurant,Lunch
Bombay Blues Restaurant,Dinner
Bombay Blues Restaurant,Breakfast
Sushi & More,Lunch
Sushi & More,Dinner
Sushi & More,Breakfast
Chcolateria San Churro,Lunch
Chcolateria San Churro,Dinner
Chcolateria San Churro,Breakfast
The 29,Lunch
The 29,Dinner
The 29,Breakfast
Right Place,Lunch
Right Place,Dinner
Right Place,Breakfast
Shobha,Lunch
Shobha,Dinner
Shobha,Breakfast
Thambi Veg Restaurant,Lunch
Thambi Veg Restaurant,Dinner
Thambi Veg Restaurant,Breakfast
The Lush,Lunch
The Lush,Dinner
The Lush,Breakfast
MRP,Lunch
MRP,Dinner
MRP,Breakfast
Cafe Coffee Day,Lunch
Cafe Coffee Day,Dinner
Cafe Coffee Day,Breakfast
Jyoti Veg Diet,Lunch
Jyoti Veg Diet,Dinner
Jyoti Veg Diet,Breakfast
DP's Fast Food,Lunch
DP's Fast Food,Dinner
DP's Fast Food,Breakfast
Sharda Bhavan,Lunch
Sharda Bhavan,Dinner
Sharda Bhavan,Breakfast
Cafe Coffee Day,Lunch
Cafe Coffee Day,Dinner
Cafe Coffee Day,Breakfast
Hotel Rishi Restaurant,Lunch
Hotel Rishi Restaurant,Dinner
Hotel Rishi Restaurant,Breakfast
Pankaj Juice Centre,Lunch
Pankaj Juice Centre,Dinner
Pankaj Juice Centre,Breakfast
Grandmama's Cafe,Lunch
Grandmama's Cafe,Dinner
Grandmama's Cafe,Breakfast
The Boston Butt,Lunch
The Boston Butt,Dinner
The Boston Butt,Breakfast
Kailash Mandir Lassi and Sweets,Lunch
Kailash Mandir Lassi and Sweets,Dinner
Kailash Mandir Lassi and Sweets,Breakfast
Pritam Da Dhaba,Lunch
Pritam Da Dhaba,Dinner
Pritam Da Dhaba,Breakfast
Cafe Gulshan,Lunch
Cafe Gulshan,Dinner
Cafe Gulshan,Breakfast
